ALIAS	n_DNA	n_LTR	n_SINE	n_LINE	species	freshwater	brackwater	saltwater	brood1	brood2	latin	DNA	LINEs	LTR	SINEs	Simple	Total	TEs	Common_name	FAMILY	DNA_frac	LINEs_frac	SINEs_frac	LTR_frac	bp	contig_bp	n50_contig	n50_scaffold	longest_scaffold	num_strs_unit20	mean_length_unit20	mean_length_sd_unit20	strs_bp_per_mbp_unit20	strs_corr_bp_per_mbp_unit20	strs_per_mbp_unit20	busco_complete_single	busco_complete_dup	busco_fragmented	busco_missing	snps	mnps	indels	complex	in_60	coverage	cegma_complete	cegma_partial	ca_coverage	snps_per_kbp	num_genes	strs_corr_bp_per_mbp_cds_unit20	num_strs_unit10	mean_length_unit10	mean_length_sd_unit10	strs_bp_per_mbp_unit10	strs_corr_bp_per_mbp_unit10	strs_per_mbp_unit10	strs_corr_bp_per_mbp_cds_unit10	indels_per_kbp	num_kogs	num_introns	mean_intron_size	std_intron_size	num_strs_filter_unit20	mean_length_filter_unit20	mean_length_sd_filter_unit20	strs_bp_per_mbp_filter_unit20	strs_corr_bp_per_mbp_filter_unit20	strs_per_mbp_filter_unit20	num_strs_unit10_1	mean_length_unit10_1	mean_length_sd_unit10_1	strs_bp_per_mbp_unit10_1	strs_corr_bp_per_mbp_unit10_1	strs_per_mbp_unit10_1	num_strs_unit10_2	mean_length_unit10_2	mean_length_sd_unit10_2	strs_bp_per_mbp_unit10_2	strs_corr_bp_per_mbp_unit10_2	strs_per_mbp_unit10_2	num_strs_unit10_3	mean_length_unit10_3	mean_length_sd_unit10_3	strs_bp_per_mbp_unit10_3	strs_corr_bp_per_mbp_unit10_3	strs_per_mbp_unit10_3	num_strs_unit10_4	mean_length_unit10_4	mean_length_sd_unit10_4	strs_bp_per_mbp_unit10_4	strs_corr_bp_per_mbp_unit10_4	strs_per_mbp_unit10_4	num_strs_unit10_5	mean_length_unit10_5	mean_length_sd_unit10_5	strs_bp_per_mbp_unit10_5	strs_corr_bp_per_mbp_unit10_5	strs_per_mbp_unit10_5	num_strs_unit10_6	mean_length_unit10_6	mean_length_sd_unit10_6	strs_bp_per_mbp_unit10_6	strs_corr_bp_per_mbp_unit10_6	strs_per_mbp_unit10_6	num_strs_unit10_7	mean_length_unit10_7	mean_length_sd_unit10_7	strs_bp_per_mbp_unit10_7	strs_corr_bp_per_mbp_unit10_7	strs_per_mbp_unit10_7	num_strs_unit10_8	mean_length_unit10_8	mean_length_sd_unit10_8	strs_bp_per_mbp_unit10_8	strs_corr_bp_per_mbp_unit10_8	strs_per_mbp_unit10_8	num_strs_unit10_9	mean_length_unit10_9	mean_length_sd_unit10_9	strs_bp_per_mbp_unit10_9	strs_corr_bp_per_mbp_unit10_9	strs_per_mbp_unit10_9	num_strs_unit10_10	mean_length_unit10_10	mean_length_sd_unit10_10	strs_bp_per_mbp_unit10_10	strs_corr_bp_per_mbp_unit10_10	strs_per_mbp_unit10_10	preqc_genome_size	strs_perc	scaled_bp	sum_strs_per_mbp_unit10	prop_class	log_strs	brood1_cat	brood1_cat2	brood1_bin	water	water_bin	w_b	bg_salt	ng_salt	ng_fresh	bg_fresh	nTEs	nTEs_density
fish_100	158025	32186	3761	50240	Clupea harengus	0	1	1	nonguarders	open water/substratum egg scatterers	Clupea_harengus	4.75	1.39	1.36	0.1	5.46	13.64	7.6	Atlantic_herring	Clupeidae	0.625	0.18289473684210525	0.013157894736842106	0.17894736842105266	444960203	444038521	5515	9828	148895	597774	43.78	43.27	56750.2	56867.9	1346.34	2033	81	657	1008	0	0	0	0	0	0.0	176	215	0.0	0.0	26523	8615.69	562152	42.4	40.95	52172.6	52280.8	1266.11	6542.58	0.0	393	2843	399.599	333.14599999999996	597774	43.78	43.27	56750.2	56867.9	1346.34	42111	18.13	7.57	1715.55	1719.11	94.8446	373139	47.65	42.61	39936.4	40019.3	840.403	28410	27.68	24.49	1763.22	1766.88	63.9865	37025	34.9	38.13	2892.4	2898.41	83.3896	19985	34.13	39.82	1516.24	1519.39	45.0113	19767	36.23	38.7	1601.13	1604.45	44.5203	7297	35.28	38.4	575.12	576.31	16.4347	14134	44.83	44.55	1420.13	1423.08	31.8333	6594	40.26	45.35	594.83	596.07	14.8514	13690	48.2	48.18	1470.43	1473.49	30.8333	0	5.21726	-0.6341201204567298	53485.450000000004	0.5571847507331378	4.717442480148036	ng	ng	0.0	salt	0.0	0.0	0	1	0	0	244212	548.8400948073102
fish_101	759558	73184	29482	102368	Cyprinus carpio	1	1	0	nonguarders	open water/substratum egg scatterers	Cyprinus_carpio	15.04	2.33	2.43	0.47	2.5	31.39	20.269999999999996	Common_carp	Cyprinidae	0.7419832264430194	0.11494819930932415	0.023186975826344356	0.11988159842131231	1042981762	1040167627	4432	7840	75511	708486	29.23	42.55	19365.3	19417.7	679.929	1997	300	821	880	0	0	0	0	0	0.0	171	224	0.0	0.0	20804	1397.53	674338	28.42	39.22	18055.6	18104.5	647.1569999999999	1091.05	0.0	413	3029	382.059	383.52099999999996	708486	29.23	42.55	19365.3	19417.7	679.929	237220	18.98	8.33	4316.11	4327.79	227.658	184597	36.03	43.96	6365.16	6382.38	177.15599999999998	60217	23.37	13.82	1345.86	1349.5	57.7898	93118	38.88	71.03	3430.7	3439.98	89.3647	36395	30.56	28.58	1059.74	1062.61	34.928000000000004	16909	25.84	22.96	418.43	419.56	16.2274	11377	25.98	16.08	283.3	284.06	10.9184	12298	36.06	74.59	423.59	424.73	11.8023	9449	28.4	23.4	256.75	257.45	9.06814	12758	33.67	42.16	408.66	409.76	12.2438	0	1.8055599999999998	1.3608750618513563	18308.300000000003	0.6457470532016565	4.2566119249068235	ng	ng	0.0	fresh	1.0	nan	0	0	1	0	964592	924.8407164381462
fish_102	154137	56652	1206	40629	Electrophorus electricus	1	0	0	guarders	nesters	Electrophorus_electricus	5.22	3.34	1.77	0.02	3.48	14.65	10.349999999999998	Electric_eel	Gymnotidae	0.5043478260869566	0.3227053140096619	0.0019323671497584545	0.17101449275362324	495084851	494340771	7576	12779	113005	456604	46.02	62.38	40749.9	40811.3	922.432	2503	86	542	653	0	0	0	0	0	0.0	208	241	0.0	0.0	26915	4733.0	411783	41.48	49.15	33574.7	33625.3	831.885	2793.9	0.0	442	3608	378.741	349.776	456604	46.02	62.38	40749.9	40811.3	922.432	43993	18.62	7.9	1654.53	1657.02	88.8747	254901	46.51	46.59	23922.6	23958.6	514.952	20432	28.85	30.48	1183.54	1185.32	41.2768	33065	31.6	32.04	2102.16	2105.32	66.798	9307	33.94	54.58	632.0	632.96	18.802	12174	46.55	81.44	1138.45	1140.16	24.5939	6059	39.19	74.43	472.73	473.44	12.2404	10274	49.47	81.23	1013.68	1015.2	20.7556	6503	43.53	72.79	560.42	561.27	13.1374	15075	57.21	81.58	1687.08	1689.62	30.4545	0	3.3574699999999997	-0.4669046918990971	34367.189999999995	0.7064846416382251	4.526012140806825	b_g	g	1.0	fresh	1.0	1.0	0	0	0	1	252624	510.2640476470567
fish_103	437256	95725	34368	34605	Epinephelus aeneus	0	1	1	nonguarders	open water/substratum egg scatterers	Epinephelus_aeneus	10.74	3.17	0.7	0.65	2.06	35.71	15.26	White_grouper	Serranidae	0.7038007863695938	0.20773263433813893	0.04259501965923985	0.04587155963302752	887764969	885956114	16683	49496	946170	389345	38.79	59.01	16538.4	16572.2	438.94599999999997	3220	104	291	187	0	0	0	0	0	0.0	216	237	0.0	0.0	26897	5915.59	362905	35.94	45.32	14413.0	14442.5	409.13800000000003	4659.97	0.0	436	3575	569.2230000000001	604.308	389345	38.79	59.01	16538.4	16572.2	438.94599999999997	40412	18.62	8.3	847.71	849.44	45.5603	160701	42.09	33.48	7614.69	7630.24	181.174	44481	29.1	36.29	1454.11	1457.08	50.1477	43857	33.76	48.57	1660.99	1664.38	49.4442	22541	33.48	55.41	842.42	844.14	25.4126	12729	32.18	59.36	458.72	459.66	14.3506	9269	29.28	44.12	303.81	304.43	10.4498	9569	37.84	69.32	403.34	404.16	10.788	7417	38.97	84.48	320.39	321.04	8.361889999999999	11929	55.61	109.76	713.93	715.39	13.4487	0	1.4413	0.843073070287518	14620.109999999999	0.42733127975357044	4.158754386632288	ng	ng	0.0	salt	0.0	0.0	0	1	0	0	601954	678.0555901840277
fish_104	165921	69485	15336	29484	Monopterus albus	1	1	0	guarders	nesters	Monopterus_albus	5.86	3.07	0.76	0.42	1.13	20.98	10.11	Swamp_eel	Synbranchidae	0.5796241345202771	0.3036597428288823	0.04154302670623145	0.0751730959446093	539967817	539917842	7071	7304	86382	174908	24.66	16.27	7932.71	7933.45	324.505	1998	58	929	771	0	0	0	0	0	0.0	168	227	0.0	0.0	26380	2117.31	167884	24.12	14.08	7458.39	7459.08	311.473	1751.9	0.0	409	2791	362.48	326.173	174908	24.66	16.27	7932.71	7933.45	324.505	34222	17.29	6.05	1095.7	1095.8	63.4917	74697	27.94	13.91	3860.64	3860.99	138.584	17060	21.49	8.54	677.85	677.91	31.6512	16827	23.26	17.78	722.29	722.36	31.2189	11166	23.29	14.78	480.22	480.26	20.7161	4740	23.63	21.96	207.38	207.4	8.79406	2237	23.19	13.11	96.06	96.06	4.15028	2206	25.81	14.25	105.41	105.42	4.09276	2224	25.55	9.93	105.19	105.2	4.12616	2505	29.9	30.47	136.96	136.97	4.6475	0	0.745839	-0.3171754729601899	7487.700000000001	0.48188751191611057	3.872645088923324	b_g	g	1.0	fresh	1.0	1.0	0	0	0	1	280226	518.9679665667926
fish_106	581636	38148	6006	69020	Pimephales promelas	1	0	0	guarders	nesters	Pimephales_promelas	19.41	1.69	2.69	0.16	1.66	39.31	23.950000000000003	Fathead_minnow	Cyprinidae	0.8104384133611691	0.07056367432150312	0.006680584551148225	0.11231732776617953	607319092	606961177	3778	4291	47644	297571	31.76	49.31	15176.5	15185.5	490.23199999999997	1392	65	1058	1248	0	0	0	0	0	0.0	120	188	0.0	0.0	29097	2370.52	267477	26.42	33.96	11485.0	11491.8	440.654	1602.21	0.0	344	2060	362.07199999999995	355.81800000000004	297571	31.76	49.31	15176.5	15185.5	490.23199999999997	70822	17.29	4.79	2016.27	2017.46	116.675	98137	23.88	10.61	3854.17	3856.45	161.675	19603	20.97	15.04	676.18	676.58	32.2949	38756	46.72	58.89	2953.96	2955.7	63.8484	11890	28.39	45.61	553.87	554.19	19.5881	7770	27.58	40.33	351.96	352.17	12.8007	4506	25.82	33.87	191.34	191.46	7.4233899999999995	5185	36.77	64.44	312.85	313.04	8.542010000000001	4311	31.35	56.49	220.25	220.37	7.1021399999999995	6497	43.44	90.67	448.9	449.16	10.7035	0	1.1485	-0.09249215322838897	11579.750000000002	0.6092597303485119	4.060130999531045	b_g	g	1.0	fresh	1.0	1.0	0	0	0	1	694810	1144.060855574091
fish_107	834881	627484	65374	174609	Salmo salar	1	1	1	nonguarders	brood hiders	Salmo_salar	14.62	11.45	4.25	0.32	2.67	43.47	30.64	Atlantic_salmon	Salmonidae	0.477154046997389	0.37369451697127937	0.010443864229765013	0.13870757180156656	2966890203	2618887853	57280	80503876	159038749	1674310	86.82	236.11	44868.3	50830.4	564.501	3314	969	165	219	0	0	0	0	0	0.0	232	242	0.0	0.0	56614	41319.8	1263422	55.16	142.68	22387.8	25362.7	425.968	20091.8	0.0	447	3906	741.928	922.875	0	0.0	0.0	0.0	0.0	0.0	109391	16.65	4.98	613.9	695.48	36.8817	629781	50.4	78.7	10695.7	12117.0	212.333	70676	50.16	205.78	1193.5	1352.1	23.8287	145541	54.79	121.54	2680.29	3036.45	49.0698	60477	50.42	158.61	1012.62	1147.18	20.3901	42642	58.51	156.74	828.85	938.99	14.3769	27755	73.05	220.23	661.04	748.88	9.35772	62610	85.23	254.04	1749.88	1982.41	21.1092	39362	88.4	268.56	1125.08	1274.58	13.2711	75187	109.28	267.21	2634.17	2984.2	25.3496	0	2.2387799999999998	7.779018376642555	23195.03	0.7048539222452266	4.350011418509645	ng	ng	0.0	nan	nan	nan	0	0	0	0	1702348	573.7819344573837
fish_108	107488	25017	9966	14515	Cynoglossus semilaevis	1	1	1	nonguarders	nan	Cynoglossus_semilaevis	3.55	1.33	0.58	0.26	2.91	10.14	5.72	Tongue_sole	Cynoglossidae	0.6206293706293706	0.23251748251748253	0.045454545454545456	0.10139860139860139	470199494	446041774	27008	20010643	34528841	387812	32.63	60.75	26108.6	27522.6	825.132	3475	85	114	109	0	0	0	0	0	0.0	236	239	0.0	0.0	19158	8445.61	360555	29.84	51.01	22390.7	23603.4	767.138	6458.04	0.0	437	3833	358.07199999999995	392.569	387812	32.63	60.75	26108.6	27522.6	825.132	80525	17.75	9.84	3040.52	3205.2	171.33	133692	27.72	27.88	7875.24	8301.76	284.45099999999996	49025	31.94	52.33	3323.53	3503.54	104.309	30828	44.29	96.11	2866.68	3021.94	65.5915	13775	35.96	72.47	1045.24	1101.85	29.3085	13397	35.6	68.97	1009.79	1064.48	28.5043	7472	31.31	45.94	494.06	520.82	15.8979	10668	45.41	86.02	1020.95	1076.24	22.6979	8645	41.47	87.93	753.98	794.81	18.3936	12528	51.29	80.13	1332.13	1404.28	26.6553	0	2.23907	-0.5499220456681387	22762.120000000006	0.5641025641025641	4.350067671130849	ng	ng	0.0	nan	nan	nan	0	0	0	0	156986	333.87105261325524
fish_109	1593652	97145	113910	108100	Danio rerio	1	0	0	nonguarders	open water/substratum egg scatterers	Danio_rerio	37.05	3.53	5.46	1.92	3.66	52.18	47.96	Zebrafish	Cyprinidae	0.7725187656380316	0.07360300250208507	0.040033361134278564	0.11384487072560467	1412464843	1409770109	1073451	54093808	77276063	1133235	45.33	88.31	35037.8	35104.8	802.574	3558	81	76	64	0	0	0	0	0	0.0	214	231	0.0	0.0	28163	4864.86	1064242	43.02	70.17	31654.1	31714.6	753.712	3363.29	0.0	0	0	0.0	0.0	1133235	45.33	88.31	35037.8	35104.8	802.574	176126	17.64	5.53	2199.22	2203.43	124.735	370887	50.54	56.83	13254.0	13279.3	262.668	134333	37.84	55.84	3576.6	3583.43	95.1367	227131	50.53	94.69	8036.85	8052.21	160.858	58629	49.22	85.71	2028.7	2032.58	41.522	17588	26.99	21.52	335.67	336.32	12.4561	12780	31.63	40.77	285.6	286.14	9.050989999999999	19479	44.13	69.18	607.15	608.31	13.7953	20189	32.78	41.58	467.02	467.91	14.2982	27100	77.19	171.81	1413.73	1416.44	19.1926	0	3.1654099999999996	2.5934676924112665	32204.539999999997	0.919126101954772	4.500429970026492	ng	ng	0.0	fresh	1.0	nan	0	0	1	0	1912807	1354.233352766006
fish_110	401759	112911	17684	53039	Esox lucius	1	1	0	nonguarders	open water/substratum egg scatterers	Esox_lucius	18.18	5.54	2.32	0.24	2.0	35.33	26.279999999999998	Northern_pike	Esocidae	0.6917808219178083	0.210806697108067	0.009132420091324202	0.0882800608828006	904452945	892379497	68259	27195745	39971444	376141	47.98	81.76	19071.4	19331.3	416.085	3412	131	166	120	0	0	0	0	0	0.0	233	236	0.0	0.0	25388	10683.4	290651	31.98	46.15	10025.6	10162.3	321.517	4162.7	0.0	439	3908	589.342	661.8	376141	47.98	81.76	19071.4	19331.3	416.085	35406	17.52	40.38	685.79	695.14	39.1659	160576	32.0	37.71	5679.06	5756.47	177.628	15399	24.95	29.8	424.13	429.91	17.0343	28333	29.73	39.46	927.93	940.57	31.3418	6651	27.13	32.93	199.07	201.79	7.3573	6236	42.28	103.04	289.31	293.25	6.89823	4322	39.4	77.14	186.08	188.62	4.78097	9640	46.6	63.83	488.79	495.45	10.6637	7140	45.12	67.79	351.03	355.82	7.89823	16948	54.61	69.81	999.44	1013.06	18.7478	0	1.0025600000000001	0.8987440259937703	10230.630000000003	0.7438437588451741	4.001110373201612	ng	ng	0.0	fresh	1.0	nan	0	0	1	0	585393	647.2343345623138
